num__customer_id,num__past_3_years_bike_related_purchases,num__tenure,cat__first_name,cat__last_name,cat__gender,cat__job_title,cat__job_industry_category,cat__wealth_segment,cat__deceased_indicator,cat__owns_car,cat__DOB
1.0,93.0,11.0,Laraine,Medendorp,F,Executive Secretary,Health,Mass Customer,N,Yes,1953-10-12 00:00:00
2.0,81.0,16.0,Eli,Bockman,M,Administrative Officer,Financial Services,Mass Customer,N,Yes,1980-12-16 00:00:00
3.0,61.0,15.0,Arlin,Dearle,M,Recruiting Manager,Property,Mass Customer,N,Yes,1954-01-20 00:00:00
4.0,33.0,7.0,Talbot,unkown,M,unkown,IT,Mass Customer,N,No,1961-10-03 00:00:00
5.0,56.0,8.0,Sheila-kathryn,Calton,F,Senior Editor,unkown,Affluent Customer,N,Yes,1977-05-13 00:00:00
6.0,35.0,13.0,Curr,Duckhouse,M,unkown,Retail,High Net Worth,N,Yes,1966-09-16 00:00:00
7.0,6.0,11.0,Fina,Merali,F,unkown,Financial Services,Affluent Customer,N,Yes,1976-02-23 00:00:00
8.0,31.0,7.0,Rod,Inder,M,Media Manager I,unkown,Mass Customer,N,No,1962-03-30 00:00:00
9.0,97.0,8.0,Mala,Lind,F,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,1973-03-10 00:00:00
10.0,49.0,20.0,Fiorenze,Birdall,F,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,1988-10-11 00:00:00
11.0,99.0,9.0,Uriah,Bisatt,M,unkown,Property,Mass Customer,N,No,1954-04-30 00:00:00
12.0,58.0,8.0,Sawyere,Flattman,M,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,1994-07-21 00:00:00
13.0,38.0,8.0,Gabriele,Norcross,M,Developer I,Financial Services,High Net Worth,N,Yes,1955-02-15 00:00:00
14.0,85.0,6.0,Rayshell,Kitteman,F,Account Executive,Financial Services,Affluent Customer,N,No,1983-03-25 00:00:00
15.0,91.0,1.0,Erroll,Radage,M,Junior Executive,Manufacturing,Mass Customer,N,No,2000-07-13 00:00:00
16.0,38.0,18.0,Harlin,Parr,M,Media Manager IV,unkown,Mass Customer,N,Yes,1977-02-27 00:00:00
17.0,57.0,15.0,Heath,Faraday,M,Sales Associate,unkown,Affluent Customer,N,Yes,1962-03-19 00:00:00
18.0,79.0,11.0,Marjie,Neasham,F,Professor,unkown,Affluent Customer,N,No,1967-07-06 00:00:00
